Country,Louvain_Community,Leiden_Community
USA,0,4
NIC,0,4
TWN,1,0
AFG,2,1
AUS,1,0
ARE,3,7
SRB,2,7
AUT,2,6
ESP,2,7
BEL,2,3
ISR,3,1
CAN,0,0
ITA,2,3
CHE,2,3
RUS,2,1
UKR,2,3
CHN,1,0
DEU,2,3
EUR,2,6
GBR,5,3
FRA,2,2
JOR,3,1
BGD,0,0
IRQ,3,1
IDN,1,0
JPN,1,0
KOR,1,0
WST,2,3
NOR,1,3
IND,1,2
PAK,3,1
IRN,3,1
PLW,1,0
TMP,1,0
KEN,6,8
MCO,2,8
MEX,0,0
MYS,0,0
POL,2,3
PSE,3,1
SDN,3,7
SYR,3,1
THA,1,0
TTO,7,2
CUB,7,5
CYM,7,0
AFR,8,2
ZAF,7,2
NGA,6,2
SAU,3,1
ARG,0,0
AZE,2,3
COL,0,4
EGY,3,1
NMR,0,0
SEA,1,0
KWT,3,1
SVK,3,6
JAM,0,4
ZWE,8,5
NZL,7,8
BHS,0,4
BRA,0,0
CAF,8,5
TZA,8,5
CHL,0,0
VAT,2,7
GHA,8,2
HTI,0,4
IRL,8,2
LBN,3,1
QAT,3,1
TUR,2,7
DNK,0,4
BLZ,9,10
BLR,2,1
BRB,0,0
GRC,2,6
SHN,1,0
LKA,6,8
MLI,2,2
SWE,1,3
TUN,0,4
UGA,8,5
AGO,8,5
BDI,8,5
COD,8,5
NAM,8,5
RWA,8,5
PHL,1,0
ARM,2,1
KNA,1,0
BGR,2,3
VNM,1,0
EST,5,3
ZMB,5,4
MMR,1,6
MAR,3,7
PER,0,0
SAS,1,2
COM,6,8
MDV,6,8
ERI,6,8
PRK,1,0
BHR,3,7
KGZ,2,1
LTU,2,1
MKD,2,6
OMN,3,1
SGP,1,0
NLD,1,2
MNG,2,6
HUN,2,6
BRN,1,0
HRV,5,6
DZA,3,7
ISL,2,3
MWI,5,9
PRT,5,4
CIV,6,2
CMR,6,2
FIN,2,3
TJK,2,3
TKM,2,1
UZB,2,1
SOM,0,6
ALB,2,6
CRI,0,4
DOM,0,4
CRB,5,3
VEN,0,7
MOZ,8,2
KHM,1,0
YEM,3,1
GIN,5,9
LIE,0,0
NPL,1,0
NER,6,2
MDA,6,8
BOL,0,0
LBY,2,1
LAO,1,0
URY,7,2
BWA,8,2
MAC,1,0
LVA,2,3
PAN,0,4
GUY,0,4
CPV,0,0
PGS,3,1
COG,8,5
ETH,8,2
CZE,2,3
GRD,8,2
SLE,8,2
VCT,1,0
BEN,6,2
TON,7,8
MEA,1,1
CYP,2,7
MLT,0,6
CAS,2,1
SSD,8,5
BFA,8,2
SEN,5,9
GNB,5,9
LUX,3,1
LBR,6,2
LSO,7,2
SWZ,8,2
BMU,8,2
FJI,10,11
SAF,5,4
GAB,8,2
KAZ,1,1
SLV,3,1
GNQ,1,0
HND,11,12
BTN,1,0
ECU,5,4
ATG,4,13
TCD,0,4
DJI,6,8
